"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name","status"
0.832534883822623,0.0285707112855131,0.235202385665678,0.251916704039699,NA,"ENSG00000233662.1","CALM2P4","not_deg"
7.21646816999579,0.0811201583856189,0.241736376934842,0.251928215086422,0.502168816086591,"ENSG00000111181.12","SLC6A12","not_deg"
1.40113637672808,-0.0343253712638073,0.23546848577042,0.251959499988363,NA,"ENSG00000233723.9","LINC01122","not_deg"
31.8635003270384,-0.130421561327416,0.235115974721159,0.251994621892944,0.502209161408032,"ENSG00000120820.12","GLT8D2","not_deg"
0.842958376048519,0.0193864186967234,0.234717524581902,0.252015643084213,NA,"ENSG00000274252.1","GGTLC3","not_deg"
196.009439803456,0.137914359002707,0.157905179273276,0.252016499893532,0.502209161408032,"ENSG00000273590.4","SMIM11B","not_deg"
10.4246750001099,-0.0851811309880324,0.24205967289895,0.25203728447056,0.502209161408032,"ENSG00000258359.1","PCNPP1","not_deg"
630.070747878759,-0.115775667643979,0.116652696416525,0.252146203571092,0.502367174764394,"ENSG00000169762.17","TAPT1","not_deg"
1565.08585065962,0.126337265899738,0.132851936720124,0.25219787724095,0.502378216844571,"ENSG00000166783.22","MARF1","not_deg"
2218.9908473693,0.102653203136357,0.0988830118958388,0.252210984990951,0.502378216844571,"ENSG00000132254.13","ARFIP2","not_deg"
0.671115844305391,0.0234073396518576,0.235104232499712,0.252228937290259,NA,"ENSG00000188305.6","PEAK3","not_deg"
0.671115844305391,0.0234073396518576,0.235104232499712,0.252228937290259,NA,"ENSG00000235271.6","Z97353.2","not_deg"
0.796822973706628,0.0294619285336498,0.235074152760215,0.252256198688874,NA,"ENSG00000259240.1","MIR4713HG","not_deg"
9.61319899019098,0.0970614589184439,0.243191379917948,0.252309749320151,0.502515929804965,"ENSG00000281731.3","METTL14-DT","not_deg"
0.832406843050074,0.0195388306841664,0.23473128492781,0.252320811591524,NA,"ENSG00000275995.1","AC109809.1","not_deg"
1316.96471928452,-0.100814719967198,0.0971229112571335,0.252368147338324,0.502573223788343,"ENSG00000122687.19","MRM2","not_deg"
23158.032915266,0.100626214448878,0.10000468337237,0.252510756438707,0.5027981850149,"ENSG00000108298.12","RPL19","not_deg"
3.71343800521503,-0.0558756443475344,0.238147981073284,0.252576331950132,NA,"ENSG00000283235.2","AC139493.2","not_deg"
1038.15944339357,-0.0938422246331766,0.0890893316045436,0.252576550602068,0.502870157854405,"ENSG00000070761.8","CFAP20","not_deg"
817.586768982028,0.118347527878512,0.120127004951703,0.252612832247427,0.50288336241181,"ENSG00000100599.16","RIN3","not_deg"
6529.0177244002,-0.13103691041292,0.145829203659064,0.252669544681076,0.502937231232922,"ENSG00000089006.17","SNX5","not_deg"
2.11543005422872,-0.0484492310816768,0.237157636329746,0.252692379798653,NA,"ENSG00000251667.1","BRCC3P1","not_deg"
1.22659386677746,-0.0388999476343533,0.235910426602385,0.252764141308915,NA,"ENSG00000134539.17","KLRD1","not_deg"
1718.60144034799,-0.123863691093196,0.128975928336416,0.252785894704798,0.503109781751711,"ENSG00000196312.15","MFSD14C","not_deg"
3.15215135137164,-0.0415823420265944,0.23646735329518,0.252807468658829,NA,"ENSG00000249751.4","ECSCR","not_deg"
0.596545665860382,-0.0283897276456435,0.23567359122086,0.252823003338463,NA,"ENSG00000252516.1","RNA5SP82","not_deg"
6.04265663769045,-0.0393993007313532,0.236253021728227,0.252831366073536,0.503141241343804,"ENSG00000285006.1","AC005280.3","not_deg"
402.41752695105,-0.123090267454541,0.128335751933998,0.252891577165734,0.503202022560771,"ENSG00000151881.15","TMEM267","not_deg"
0.886541045123304,0.0271337726574144,0.235071963793948,0.252937875701793,NA,"ENSG00000170827.9","CELP","not_deg"
321.564109511546,0.111646054379205,0.111008932069443,0.253075535707156,0.503508992507808,"ENSG00000108239.9","TBC1D12","not_deg"
3.80261726600211,0.0620369336790611,0.239228822500834,0.25309876541232,NA,"ENSG00000143869.7","GDF7","not_deg"
13.0872980139482,0.101460285101193,0.243361676631417,0.253144912739047,0.503563074932232,"ENSG00000261578.1","AP003119.3","not_deg"
33.6911565849635,0.13684827503563,0.229588179522763,0.253162097750554,0.503563074932232,"ENSG00000184227.8","ACOT1","not_deg"
0.868266642982099,0.018877670518595,0.234670067382795,0.253197197121863,NA,"ENSG00000204618.8","RNF39","not_deg"
22.7429516155702,-0.137369635641167,0.227632154427187,0.25330224063533,0.503782751338629,"ENSG00000255893.1","AP000786.1","not_deg"
31.2925703844967,0.128915197408285,0.236131333365617,0.253571758218343,0.504214833893146,"ENSG00000237943.7","PRKCQ-AS1","not_deg"
2362.88466688813,0.0806631660787085,0.0745624099038645,0.253595631297462,0.504214833893146,"ENSG00000189241.8","TSPYL1","not_deg"
16.7848016856044,-0.0886662771714346,0.242300459251515,0.253608675664314,0.504214833893146,"ENSG00000128045.7","RASL11B","not_deg"
318.915897065845,0.11018541741444,0.109078575031973,0.253758584636352,0.504399324583173,"ENSG00000129195.16","PIMREG","not_deg"
2113.70717912113,0.123184981618696,0.130068927214161,0.253776146214378,0.504399324583173,"ENSG00000108861.9","DUSP3","not_deg"
695.116914772378,0.12240942176546,0.12706586919382,0.253790686633618,0.504399324583173,"ENSG00000110717.13","NDUFS8","not_deg"
2.75497918730239,0.0563495768822475,0.238248195944022,0.253860123706538,NA,"ENSG00000266265.4","KLF14","not_deg"
2.93641838336815,0.0579468277642819,0.238606758208858,0.253935191051588,NA,"ENSG00000271882.1","AP001330.4","not_deg"
3.65784436776539,-0.0643023050840791,0.239370202566877,0.254010551273573,NA,"ENSG00000250746.1","AC105250.1","not_deg"
1.52105421905869,0.0415176662580085,0.236371101710314,0.254011440607201,NA,"ENSG00000286472.1","AL035252.5","not_deg"
81.144986674184,0.13926368548033,0.22492092318768,0.254019664734659,0.504742401119424,"ENSG00000275778.2","AC018630.4","not_deg"
171.112687224072,-0.134839173034302,0.15141912259231,0.254040590822934,0.504742401119424,"ENSG00000277534.1","AC007996.1","not_deg"
16.5911079401778,-0.117160360184515,0.241192616983772,0.254056402885594,0.504742401119424,"ENSG00000149591.17","TAGLN","not_deg"
294.625430292043,0.131808082573761,0.145892051013119,0.254082343066897,0.504742401119424,"ENSG00000159263.16","SIM2","not_deg"
0.771514098133054,0.0306393221130591,0.235343320525685,0.254159923331908,NA,"ENSG00000230392.1","AC004835.1","not_deg"
0.977409440717758,-0.0276476986126441,0.235069746104352,0.254176369093249,NA,"ENSG00000287833.1","AL157997.1","not_deg"
930.999731498899,0.118665490805444,0.123922984215364,0.254213756955582,0.504944318037666,"ENSG00000106266.11","SNX8","not_deg"
133.977491969589,0.13178015693199,0.144180491490512,0.254325020819433,0.505106168397939,"ENSG00000269044.2","AC024075.2","not_deg"
479.51860624944,-0.110125788039989,0.109527345551901,0.254396337138767,0.505188651704793,"ENSG00000120784.16","ZFP30","not_deg"
531.378299490467,0.122241562380461,0.1269068034061,0.254550775097105,0.505412884537264,"ENSG00000171202.7","TMEM126A","not_deg"
5.80837783198939,-0.0821019488740218,0.241632820285559,0.254599580446444,0.505412884537264,"ENSG00000162390.18","ACOT11","not_deg"
538.067790563153,0.116938626762574,0.118860039228607,0.25460891399955,0.505412884537264,"ENSG00000165030.4","NFIL3","not_deg"
748.694331695078,-0.109325088521532,0.108988788297107,0.254628447519068,0.505412884537264,"ENSG00000157837.16","SPPL3","not_deg"
24.2144420740556,0.133735964402694,0.231896651493697,0.254810859231639,0.505715771522095,"ENSG00000275055.1","AC011468.5","not_deg"
371.200375997202,-0.129931309886281,0.141886630757037,0.254842248344949,0.505718892497799,"ENSG00000112651.12","MRPL2","not_deg"
1088.45937878807,-0.0953721312288307,0.0912788405280417,0.255027743716839,0.505950797754544,"ENSG00000183337.17","BCOR","not_deg"
36073.5960108827,-0.108814750546518,0.108131381666842,0.255042461874701,0.505950797754544,"ENSG00000148303.17","RPL7A","not_deg"
914.727640875534,0.103150908386387,0.100392232646979,0.255048600955212,0.505950797754544,"ENSG00000137992.14","DBT","not_deg"
305.345588826894,0.125787900162326,0.133566780538341,0.255161022417397,0.506062502695384,"ENSG00000224870.7","MRPL20-AS1","not_deg"
