"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_REGULATION_OF_ORGANIC_ACID_TRANSPORT","GOBP_REGULATION_OF_ORGANIC_ACID_TRANSPORT","4/201","41/11404",0.00569765938296162,0.122657945049868,0.107733520496545,"SV2A/EDN1/RGS2/ADORA1",4
"GOBP_MUSCLE_SYSTEM_PROCESS","GOBP_MUSCLE_SYSTEM_PROCESS","11/201","257/11404",0.00585311491920799,0.124848552175767,0.109657585159474,"TRPV4/EDN1/RGS2/ADORA1/RNF207/FGF13/SCN5A/KCNJ8/RYR2/JUP/TTN",11
"GOBP_PEPTIDE_TRANSPORT","GOBP_PEPTIDE_TRANSPORT","8/201","155/11404",0.00613721197920871,0.129718344106002,0.113934844398707,"UCP2/MGST1/TRPV4/EDN1/AACS/EPHA5/ADORA1/SPINK1",8
"GOBP_DETECTION_OF_MECHANICAL_STIMULUS","GOBP_DETECTION_OF_MECHANICAL_STIMULUS","3/201","22/11404",0.00648884788515049,0.135761727884973,0.119242898515834,"JUP/TTN/PIEZO2",3
"GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS","15/201","414/11404",0.00654844223512303,0.135761727884973,0.119242898515834,"HSPA1A/UCP2/AR/RAB15/EDN1/CPEB1/IGFBP1/STAT5A/CTSS/FOXA1/ADTRP/SPINK1/LGR5/AGTR1/IRS4",15
"GOBP_REGULATION_OF_BLOOD_PRESSURE","GOBP_REGULATION_OF_BLOOD_PRESSURE","6/201","95/11404",0.00659831193591484,0.135761727884973,0.119242898515834,"RPS6KA2/AR/EDN1/ADORA1/CORO2B/AGTR1",6
"GOBP_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY","4/201","43/11404",0.00675654230280007,0.136599659600088,0.119978874759104,"EDN1/RNF207/CTSS/JPH2",4
"GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT","GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT","4/201","43/11404",0.00675654230280007,0.136599659600088,0.119978874759104,"EDN1/ANKRD1/PGM5/TTN",4
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","5/201","68/11404",0.00687095988056578,0.137715359675133,0.12095882185388,"ADGRL3/CALCB/LGR5/ADCY1/S1PR3",5
"GOBP_MUSCLE_STRUCTURE_DEVELOPMENT","GOBP_MUSCLE_STRUCTURE_DEVELOPMENT","16/201","457/11404",0.00694727166623034,0.138054757469962,0.121256923369202,"SOX9/UCHL1/EDN1/LOX/ANKRD1/RGS2/ALPK2/RBPMS2/HOPX/MKX/JPH2/FHL1/RYR2/PGM5/DMRTA2/TTN",16
