"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION",56,0.705406106266166,1.63247946320395,0.0124835595139427,0.308013688441588,0.292591452339499,1215,"tags=23%, list=7%, signal=22%","TGFB1/SMAD3/WWTR1/TGFBR1/FOS/TGFB3/SH2B1/TOB1/PBLD/LNPEP/MAGI2/SMAD2/ZMIZ1"
"GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION","GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION",108,0.627563445931952,1.57314076035498,0.0127796879058275,0.311627774319024,0.296024581045917,245,"tags=10%, list=1%, signal=10%","CD74/TGFA/TGFB1/IL11/HES1/ERBB3/PTPRJ/ERCC6/ACVR1/VEGFA/NRP1"
"GOBP_MACROPHAGE_DIFFERENTIATION","GOBP_MACROPHAGE_DIFFERENTIATION",32,0.824506533912748,1.80235778524382,0.0132814320676076,0.318610786573202,0.302657954086875,774,"tags=19%, list=5%, signal=18%","HLA-DRB1/TGFB1/VEGFA/APP/CSF1/ZBTB46"
"GOBP_REGULATION_OF_VIRAL_PROCESS","GOBP_REGULATION_OF_VIRAL_PROCESS",121,0.623234082041475,1.59519837594889,0.0132665344910083,0.318610786573202,0.302657954086875,483,"tags=7%, list=3%, signal=7%","HLA-DRB1/CD74/CIITA/PPARA/ADARB1/IFIH1/MID2/IFIT1/IFITM3"
"GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY","GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY",418,0.469168392859101,1.37303028615603,0.0132781182810786,0.318610786573202,0.302657954086875,1074,"tags=11%, list=6%, signal=10%","HLA-DRB1/CD74/TGFA/GPRC5A/EGR1/WNT5A/DRD2/TGFB1/MAPRE3/ERBB3/IGF1R/DDR1/ERCC6/DAG1/VEGFA/SPRY2/TNFRSF11A/SERINC5/MAPT/ERN1/MAP2K6/THBS1/CARD10/INSR/CDK5R2/CTNNB1/SNCA/CDKN1B/DVL3/CSF1/DAXX/SLC27A1/TRAF4/ARRDC4/MADD/WNK1/AGER/ACSL1/ROR1/CALM3/GHR/PARP16/PTEN/CAMKK1/MAP3K10"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I",26,0.8321571286978,1.75609391480082,0.0136613718270502,0.323136719649107,0.306957273830002,1191,"tags=38%, list=7%, signal=36%","HLA-E/HLA-B/HLA-F/HLA-C/CALR/HLA-A/TAPBP/LNPEP/HFE/IKBKB"
"GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY",18,0.837344152610198,1.69398587365864,0.0136885316119946,0.323136719649107,0.306957273830002,1050,"tags=39%, list=6%, signal=37%","DRD2/SYNGR1/APP/GRIK2/SHANK3/SNCA/SYP"
"GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION","GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION",13,0.877942956929584,1.68011116571672,0.0136830988515868,0.323136719649107,0.306957273830002,860,"tags=46%, list=5%, signal=44%","HLA-DRB1/CD74/CTNNBIP1/CSF1/ZBTB46/HOXA7"
"GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS","GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS",74,0.685309266930427,1.63778303552131,0.0140317876913633,0.323873297602546,0.3076569713475,1021,"tags=26%, list=6%, signal=24%","TFAP2A/SMAD3/HOXA5/HOXA4/MEGF8/EYA1/HOXA3/MMP16/HOXA6/TGFBR1/CTNNB1/RUNX2/TGFB3/MMP14/HOXB7/HOXA7/HOXA1/IFT140/SMAD2"
"GOBP_ESTROUS_CYCLE","GOBP_ESTROUS_CYCLE",10,0.867884121540814,1.59636658099526,0.0140846206483306,0.323873297602546,0.3076569713475,116,"tags=20%, list=1%, signal=20%","EGR1/IGF1R"
