"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION","12/219","84/11404",6.23080297910303e-08,5.8636306606916e-06,4.47634003498717e-06,"HLA-DPB1/HLA-DPA1/CD74/HLA-DMB/HLA-E/HES1/ADA/NFATC2/CD70/TNFSF9/IL6/CD38",12
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","18/219","203/11404",6.72205931782378e-08,6.10780217326402e-06,4.66274241610209e-06,"MMP2/COL1A1/TGFB1/MIA/COL18A1/ZNF469/SMOC1/LTBP3/COL5A1/APLP1/HMCN1/COL9A3/MMP24/OLFML2B/ADAMTS14/COL22A1/IL6/COL15A1",18
"GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","21/219","289/11404",1.64448552270658e-07,1.44440645077728e-05,1.10267081890957e-05,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/WNT5A/HLA-DQB2/HES1/HLA-DOA/PTPRJ/ADA/HLA-DOB/CD70/TNFSF9/IL6",21
"GOBP_CRANIAL_NERVE_DEVELOPMENT","GOBP_CRANIAL_NERVE_DEVELOPMENT","8/219","36/11404",3.10055354669687e-07,2.63547051469234e-05,2.01193814184643e-05,"TFAP2A/SLITRK6/HES1/ERBB3/ADARB1/HOXA3/SEMA3A/EGR2",8
"GOBP_T_CELL_ACTIVATION","GOBP_T_CELL_ACTIVATION","21/219","303/11404",3.6293547627701e-07,2.98854681246851e-05,2.28147926041239e-05,"HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/CD74/HLA-DMB/HLA-DMA/HLA-E/EGR1/HLA-DQB2/HES1/RORA/HLA-DOA/ADA/HLA-DOB/CD70/TNFSF9/IL6",21
"GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY","13/219","122/11404",5.87392740184695e-07,4.69024203147476e-05,3.58056627270479e-05,"PLAT/DRD2/SYNGR1/PPFIA3/SNAP25/GRIK2/PTGS2/MAPT/GRIN2A/SHANK3/EGR2/CD38/SYP",13
"GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE","GOBP_PROTEIN_LOCALIZATION_TO_SYNAPSE","9/219","53/11404",6.41441185746709e-07,4.97116918953699e-05,3.7950281918327e-05,"WNT5A/CACNG7/GPC6/CLSTN3/SNAP25/BSN/MAPT/GRIN2A/ARHGAP44",9
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN","6/219","20/11404",1.44967673435453e-06,0.000106493689668734,8.1298088867253e-05,"HLA-DRA/HLA-DRB1/CD74/HLA-E/HLA-B/HLA-F",6
"GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION","GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION","13/219","132/11404",1.45494224974362e-06,0.000106493689668734,8.1298088867253e-05,"HLA-DPB1/HLA-DPA1/HLA-DRB1/CD74/HLA-DMB/HLA-E/HES1/ADA/NFATC2/CD70/TNFSF9/IL6/CD38",13
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE","GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE","20/219","304/11404",1.57876930255227e-06,0.000112433976006087,8.58329484260993e-05,"HLA-DRA/HLA-DPB1/HLA-DQB1/HLA-DRB1/CD74/HLA-DMB/HLA-E/FYB1/WNT5A/HLA-B/HLA-F/TGFB1/C1R/PTPRJ/ADA/C1RL/NFATC2/FPR1/IL6/CD38",20
"GOBP_BEHAVIOR","GOBP_BEHAVIOR","22/219","368/11404",2.29409515034933e-06,0.000159077387399223,0.00012144088178165,"EGR1/PAK6/SOBP/DRD2/SLITRK6/PPARA/RCAN1/ADARB1/INPP5F/FGF12/SNAP25/KIRREL3/GRIK2/PTGS2/MAPT/NHLH2/FOS/GRIN2A/SHANK3/EGR2/ABAT/SERPINF1",22
"GOBP_REGULATION_OF_SECRETION","GOBP_REGULATION_OF_SECRETION","22/219","372/11404",2.73858761364164e-06,0.000177724138027805,0.000135675952370373,"PTGES/HLA-DRB1/CD74/DRD2/HLA-F/TGFB1/IL11/ERBB3/TRPM4/SNAP25/ADA/TNFRSF11A/CDK5R2/GIPR/RAB3D/IL6/CD38/SYT5/ABAT/RAB26/CORIN/SYP",22
"GOBP_CYTOKINE_PRODUCTION","GOBP_CYTOKINE_PRODUCTION","25/219","462/11404",2.76220800479055e-06,0.000177724138027805,0.000135675952370373,"HLA-DPB1/HLA-DPA1/HLA-DRB1/CD74/HLA-E/EGR1/WNT5A/HLA-B/DRD2/HLA-F/TGFB1/PPARA/RORA/MAPK11/TRPM4/LTBP3/PTPRJ/NFATC2/SSC5D/GATA4/PTGS2/IL6/CCN4/PANX2/ARRB1",25
"GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT","GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT","5/219","13/11404",2.83279460993086e-06,0.000177724138027805,0.000135675952370373,"TFAP2A/HES1/ADARB1/SEMA3A/EGR2",5
"GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","5/219","13/11404",2.83279460993086e-06,0.000177724138027805,0.000135675952370373,"HLA-E/TNFRSF11A/PTGS2/ALOX5AP/IL6",5
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","18/219","264/11404",3.25009436425664e-06,0.000199162759298052,0.000152042358141847,"PLAT/DRD2/SYNGR1/CACNG7/S1PR2/CNIH2/PPFIA3/CLSTN3/SNAP25/GRIK2/PTGS2/MAPT/GRIN2A/SHANK3/EGR2/CD38/RAB26/SYP",18
"GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING","24/219","437/11404",3.43656118122288e-06,0.000205803152557325,0.000157111684624807,"PLAT/DRD2/SYNGR1/CACNG7/ADARB1/S1PR2/FGF12/CNIH2/PPFIA3/CLSTN3/SNAP25/PCDHB2/BSN/GRIK2/PTGS2/MAPT/GRIN2A/SHANK3/EGR2/CD38/SYT5/ABAT/RAB26/SYP",24
"GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY","7/219","35/11404",3.7245833623073e-06,0.000213552841582911,0.000163027855893316,"DRD2/SYNGR1/PPFIA3/GRIK2/SHANK3/EGR2/SYP",7
"GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC","GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC","8/219","49/11404",3.72805719651381e-06,0.000213552841582911,0.000163027855893316,"PLAT/DRD2/CACNG7/CNIH2/CLSTN3/GRIK2/PTGS2/SHANK3",8
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS","17/219","241/11404",3.89608345801231e-06,0.00021842935982686,0.000166750626836764,"HLA-DRB1/HLA-E/WNT5A/HLA-B/PLAT/DRD2/HLA-F/SERPINB2/PPARA/RORA/INPP5F/SEMA3A/ADA/SEMA3B/SEMA6B/ABAT/SERPINF1",17
"GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION","8/219","50/11404",4.36555000305905e-06,0.000239650505376262,0.000182951009996619,"HLA-DPB1/HLA-DPA1/HLA-DMB/HLA-E/HES1/CD70/TNFSF9/IL6",8
"GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","6/219","25/11404",6.11217174366291e-06,0.000328685153970444,0.000250920734739846,"PTGES/HLA-E/TNFRSF11A/PTGS2/ALOX5AP/IL6",6
"GOBP_NERVE_DEVELOPMENT","GOBP_NERVE_DEVELOPMENT","8/219","55/11404",9.11698510218163e-06,0.000480465114884972,0.000366790705900402,"TFAP2A/SLITRK6/HES1/ERBB3/ADARB1/HOXA3/SEMA3A/EGR2",8
"GOBP_RESPONSE_TO_WOUNDING","GOBP_RESPONSE_TO_WOUNDING","21/219","376/11404",1.12741734633475e-05,0.000582498962272956,0.000444684117408816,"MMP2/TGFA/WNT5A/COL1A1/PLAT/DRD2/SERPINB2/TGFB1/ERBB3/PPARA/INPP5F/ACTA2/COL5A1/TBXA2R/GATA4/GRIN2A/GIPR/CYP1A1/IL6/CCN4/ABAT",21
"GOBP_SENSORY_PERCEPTION","GOBP_SENSORY_PERCEPTION","17/219","263/11404",1.24444739485479e-05,0.000630599785661995,0.00048140465011488,"PTGES/DHRS3/SOBP/COL1A1/TFAP2A/ATP6V0A4/DRD2/SLITRK6/COL18A1/EYA1/GRIK2/HMCN1/PTGS2/MMP24/GRIN2A/PDZD7/ALOXE3",17
"GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY","GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY","5/219","17/11404",1.27907422311401e-05,0.000635917090170835,0.000485463920629768,"HLA-DRA/HLA-DRB1/HLA-E/HLA-B/HLA-F",5
"GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION","GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION","9/219","77/11404",1.56670097923457e-05,0.000764492051904278,0.000583619019749956,"WNT5A/CACNG7/GPC6/CLSTN3/SNAP25/BSN/MAPT/GRIN2A/ARHGAP44",9
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN","5/219","18/11404",1.74344779560254e-05,0.000792128033082754,0.000604716536990369,"HLA-DRA/HLA-DRB1/HLA-E/HLA-B/HLA-F",5
"GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY","GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY","5/219","18/11404",1.74344779560254e-05,0.000792128033082754,0.000604716536990369,"DRD2/SYNGR1/GRIK2/SHANK3/SYP",5
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE","GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_SYNAPSE","5/219","18/11404",1.74344779560254e-05,0.000792128033082754,0.000604716536990369,"WNT5A/GPC6/CLSTN3/MAPT/ARHGAP44",5
"GOBP_COLLAGEN_METABOLIC_PROCESS","GOBP_COLLAGEN_METABOLIC_PROCESS","8/219","60/11404",1.76437018613857e-05,0.000792128033082754,0.000604716536990369,"MMP2/CIITA/COL1A1/TGFB1/COL5A1/MMP24/ADAMTS14/IL6",8
"GOBP_OSSIFICATION","GOBP_OSSIFICATION","18/219","299/11404",1.81121454392164e-05,0.000792128033082754,0.000604716536990369,"MMP2/DHRS3/SLC26A2/WNT5A/COL1A1/TFAP2A/ATP6V0A4/TGFB1/MAPK11/TRPM4/SMOC1/LTBP3/TNFRSF11A/PTGS2/EGR2/IL6/CCN4/WNT7B",18
"GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION","GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION","7/219","44/11404",1.83281014632963e-05,0.000792128033082754,0.000604716536990369,"DRD2/S1PR2/GRIK2/PTGS2/MAPT/SHANK3/CD38",7
"GOBP_LEUKOCYTE_DIFFERENTIATION","GOBP_LEUKOCYTE_DIFFERENTIATION","20/219","358/11404",1.83376888114034e-05,0.000792128033082754,0.000604716536990369,"HLA-DRA/HLA-DRB1/CD74/EGR1/HLA-B/TGFB1/IL11/RORA/HLA-DOA/EVI2B/PTPRJ/ADA/TNFRSF11A/MFNG/DHRS2/FOS/TNFSF9/IL6/ZBTB46/CCN4",20
"GOBP_CRANIAL_NERVE_MORPHOGENESIS","GOBP_CRANIAL_NERVE_MORPHOGENESIS","5/219","19/11404",2.32927793746318e-05,0.00098994312342185,0.000755730074446881,"TFAP2A/ADARB1/HOXA3/SEMA3A/EGR2",5
