"gene_id","gene_name","ARID2KO1","ARID2KO2","ARID2KO3","ARID2KO4","ARID2NT1","ARID2NT2","ARID2NT3","ARID2NT4"
"ENSG00000287375.1","AC098825.1",0,0,0,0,0,0,0,0
"ENSG00000287376.1","AL359538.3",0,0,0,0,0,0,0,0
"ENSG00000287377.1","AC090948.4",6,2,11,6,1,1,2,3
"ENSG00000287378.1","AC129803.1",1,0,0,0,0,0,1,1
"ENSG00000287379.1","AC006144.2",0,1,0,0,1,1,0,1
"ENSG00000287380.1","AL589935.3",0,0,0,0,0,0,0,0
"ENSG00000287381.1","AC012433.2",0,0,0,0,0,0,0,0
"ENSG00000287382.1","AC110611.2",15,23,12,14,16,11,16,19
"ENSG00000287383.1","AC110809.1",0,1,0,0,0,0,0,0
"ENSG00000287384.1","AL096840.2",0,0,0,0,0,0,0,0
"ENSG00000287385.1","AL121820.3",0,1,1,2,4,3,1,1
"ENSG00000287386.1","AC009248.3",0,0,0,0,0,0,0,0
"ENSG00000287387.1","AC010883.3",1,1,2.002,1,0,0,2,2
"ENSG00000287388.1","AC068774.1",0,0,0,0,0,0,0,0
"ENSG00000287389.1","AC007106.2",1,0,2,2,0,1,0,0
"ENSG00000287390.1","AC006525.1",0,0,0,0,0,0,0,0
"ENSG00000287391.1","AC103871.1",0,0,0,0,0,0,0,0
"ENSG00000287392.1","AC097520.2",0,0,0,0,0,0,0,0
"ENSG00000287393.1","AL591468.1",0,0,0,0,0,0,0,0
"ENSG00000287394.1","AC244102.4",56.117,62.079,82.498,54,93.123,72,70.167,87.021
"ENSG00000287395.1","AL118511.3",0,0,0,0,0,0,0,0
"ENSG00000287396.1","AL592464.3",1,2,0,1,0,0,1,0
"ENSG00000287397.1","AP002528.1",0,0,0,0,0,0,0,0
"ENSG00000287398.1","AC117481.1",0,0,0,0,0,0,0,0
"ENSG00000287399.1","AC011503.4",0,0,0,0,0,0,0,0
"ENSG00000287400.1","AC093151.7",0,0,0,0,0,0,0,0
"ENSG00000287401.1","AC034139.1",0,0,0,0,0,0,0,0
"ENSG00000287402.1","AL158167.1",0,0,0,0,1,0,1,0
"ENSG00000287403.1","AC016245.2",5,3,3,1,1,0,0,0
"ENSG00000287404.1","AL451080.1",0,0,0,0,0,0,0,0
"ENSG00000287405.1","AC017028.2",1,0,1,0,0,0,0,0
"ENSG00000287406.1","AC098656.1",0,0,0,0,0,0,0,0
"ENSG00000287407.1","AL596442.3",1,0,0,0,0,0,0,0
"ENSG00000287408.1","AC027811.1",0,0,0,0,0,0,0,0
"ENSG00000287409.1","AC004936.1",0,0,0,0,0,0,0,0
"ENSG00000287410.1","AL161941.1",0,0,0,0,0,0,0,0
"ENSG00000287411.1","AL031259.1",0,2.001,2.005,2.002,1.002,0,0,1
"ENSG00000287412.1","AP001591.1",0,0,0,0,0,0,0,0
"ENSG00000287413.1","AL449363.2",0,0,0,0,2,0,0,0
"ENSG00000287414.1","AC093787.2",3,1,2,11.302,1,4,0,5
"ENSG00000287415.1","AC099541.2",0,0,0,0,0,0,0,0
"ENSG00000287416.1","AC093746.1",0,0,0,0,0,0,0,0
"ENSG00000287417.1","AC006059.4",0,0,0,0,0,0,0,0
"ENSG00000287418.1","AC013439.1",0,0,0,0,0,0,0,0
"ENSG00000287419.1","AL121929.3",13,24,25,23,15,10,16,9
"ENSG00000287420.1","AL590068.4",0,0,0,0,0,0,0,0
"ENSG00000287421.1","AC131237.1",0,1,1,6,2,0,0,0
"ENSG00000287422.1","AL442071.2",0,0,0,0,0,0,0,0
"ENSG00000287423.1","AL360006.1",0,0,0,1,0,0,0,0
"ENSG00000287424.1","AC080079.2",0,0,0,0,0,0,0,0
"ENSG00000287425.1","AP003717.4",0,1,2,1,1,1,1,0
"ENSG00000287426.1","AP003327.2",0,0,0,0,0,0,0,0
"ENSG00000287427.1","AL390236.1",0,0,0,0,0,0,0,0
"ENSG00000287428.1","AL139280.2",0,0,0,0,0,0,0,0
"ENSG00000287429.1","AC009121.4",0,0,0,0,0,0,0,0
"ENSG00000287430.1","AL136090.2",0,0,0,0,0,0,0,0
"ENSG00000287431.1","AC027601.5",11,14,28,27,20,21,23,13
"ENSG00000287432.1","AC244035.4",0,0,0,0,0,0,0,0
"ENSG00000287433.1","AC107222.2",0,0,0,0,0,0,0,0
"ENSG00000287434.1","AC109133.1",0,0,0,0,0,0,1,0
"ENSG00000287435.1","AC069404.1",0,0,0,0,0,0,0,0
"ENSG00000287437.1","AL161662.1",0,0,0,0,1,1,0,0
"ENSG00000287438.1","AL356313.1",0,0,0,0,0,0,0,0
"ENSG00000287439.1","AC092078.3",0,0,0,0,1,1,0,0
"ENSG00000287440.1","AC063919.2",0,0,0,0,0,0,0,0
"ENSG00000287441.1","AC131956.3",0,0,0,0,0,0,0,0
"ENSG00000287442.1","AC079460.2",0,1,0,0,0,0,0,0
"ENSG00000287443.1","AL357558.3",0,0,0,0,0,0,0,0
"ENSG00000287444.1","AC007610.5",0,0,0,0,0,0,0,0
"ENSG00000287445.1","AC092803.3",1,4,1,1,3,0,0,0
"ENSG00000287446.1","AC007731.5",0,0,0,0,0,1,0,1
"ENSG00000287447.1","AC099501.1",0,0,0,0,0,0,0,0
